HPAITHSAS	H)PAI/THSAS
ANTIPAQOUNTES	A)NTIPAQOU=NTES
PAREOMENWN	PAREOME/NWN
HRAKLIOS	*(HRA/KLIOS
ERMAWS	*(ERMAW/S
QEODOSIOS	QEODO/SIOS
PETROS	PE/TROS
HLIAS	
PROSWPW	PROSW/PW
PRWTEROIS	PRW|TE/ROIS
LOGOPOIEIAN	LOGOPOIEI/AN
METRO	ME/TRO
EKLLH	E)KLLH=|
KATALABOTWN	KATALABO/TWN
KATAMANQANNWN	KATAMANQA/NNWN
KWNSTANTINOS	*KWNSTANTI=NOS
AQANASIOU	A)QANASI/OU
QEODOSIOU	QEODOSI/OU
GEORGIOS	*GEORGI=OS
KUROS	KU=ROS
QEODWRE	QEO/DWRE
DEI	DEI=
ECAGIN	
KANW	KA/NW
KURIW	KURI/W
KURW	
I#2	I#2
TETARTIW	TETARTI/W
UPOQEWS	U(POQEW=|S
DIASTALMWN	DIASTALMW=N
MAKARIW	MAKARI/W
DROMIKO	DROMIKO/
IPPOKW	I(PPO/KW
AND	AND
EIDH	
KTIZE	KTI/ZE
AKQ	AKQ
PARAFULLAG	PARAFULLA=N
LAODIKA	LAO/DIKA
KAI	
SKD	SKD
ANDREAS	*)ANDRE/AS
MEROS	ME/ROS
SERGIOS	*SE/RGIOS
QEODOKOU	QEODO/KOU
QEODOROU	*QEODO/ROU
BOTTOS	BO/SSOS
FILOQEOS	FILO/QEOS
TAURINOS	*TAURI=NOS
GEWRGIW	GEWRGI/W
AQANASIOS	A)QANA/SIOS
IERAKION	I(ERA/KION
MO	MO
GUNH	GUNH/
UIOS	
TEKNON	TE/KNON
TOPOU	TO/POU
MHNAS	
ZAXARIAS	ZAXA/RIAS
APOSTOLON	A)PO/STOLON
AQ	AQ
ARXANGELO	A)RXA/GGELO
KORNHLIOS	*KORNH/LIOS
ERMAUWS	*(ERMAUW/S
EPIMAXOS	E)PI/MAXOS
UPER	U(PE/R
OROS	
NO	NO
PROKLAS	PROKLA/S
NUMBER_0	I-number
QEODWROS	QEO/DWROS
QWMAS	*QWMA=S
A	
D	D
ANASTASIOS	A)NASTA/SIOS
GUNIKW	GUNIKW/
