ANTISUNGRAFA	A)NTISU/GGRAFA
ENKUKLION	E)GKU/KLION
STRONGULOPROSWPON	STROGGULOPRO/SWPON
SUNGRAFHN	SUGGRAFH/N
ENPOIHQH	E)MPOIHQH=
ENKALESH	E)GKALE/SH
SUNLAMBANESQAI	SULLAMBA/NESQAI
SUNKEXWRHKASI	SUGKEXWRH/KASI
SUNBIW	SUMBI/W
SUNLHMFQENTI	SULLHMFQE/NTI
MENXHS	*MEGXH=S
PANXARI	PA/GXARI
EKDIKIN	E)KDI/KION
POIMENIN	POIME/NION
SUNLABWMENOS	SULLABWME/NOS
ARRHNIKAS	*)ARSHNIKA/S
ANFODOU	A)MFO/DOU
OPER	O(
SUNXISI	SUGXI/SI
PARANGELIAN	PARAGGELI/AN
ANANKAIN	A)NA/GKAIN
SUNKOMIDHS	SUGKOMIDH=S
SUNKLISQHS	SUGKLISQH=S
MENFOMAI	ME/MFOMAI
EMENYANTO	E)ME/MYANTO
PARANBALLOUSWN	PARAMBALLOUSW=N
ANKURWN	A)GKURW=N
ELATTOSIN	E)LA/SSOSIN
ENGUOS	E)/GGUOS
SUNKEXWRHKAN	SUGKEXW/RHKAN
PARASUNGRAFOUNTES	PARASUGGRAFOU=NTES
DAKTULIDIN	DAKTULI/DION
ENGALW	E)GGA/LW
SUNKEXWRHMENHN	SUGKEXWRHME/NHN
ANGURA	A)/GGURA
ENKEIMENHN	E)GKEIME/NHN
ENGUHS	E)GGU/HS
HNENKEN	H)/NEGKEN
NOMIZMATIA	NOMISMA/TIA
THGANIN	THGA/NION
ENKALESSEIN	E)GKALE/SSEIN
UPOMNHMATIZMO	U(POMNHMATISMO/
KATAGWGIN	KATAGW/GION
ENGEGRAMMENAIS	E)GGEGRAMME/NAIS
APF'	A)PFA/
OMFALIN	O)MFA/LION
ENKALESANTA	E)GKALE/SANTA
ENKALESONTA	E)GKALE/SONTA
PERIERONXASEN	PERIERO/GXASEN
EPANANKASAN	E)PANAGKA/SAN
HNENENKEN	H)NE/NEGKEN
PANKRATEI	PAGKRATEI=
PANKRATI	*PAGKRA/TI
OUNKIAS	OU)GKI/AS
ALLHLENGUIHS	A)LLHLEGGUI/+HS
HNHNKASE	H)NH/GKASE
SUNLOGHSATE	SULLOGH/SATE
ONMATOS	O)/MMATOS
PANKRATOU	PAGKRATOU=
PANKRATEIS	PAGKRATEI=S
SALWTIN	SALW/TION
PELUKIN	PELU/KION
ENENKENAI	E)NEGKE/NAI
ZMAMA	SMA=MA
ENGUOUME	E)GGUOU=ME
SUNKATERAYA	SUGKATE/RAYA
SUNBEIW	SUMBEI/W
EUTUXIN	EU)TU/XION
ENGUWME	E)GGUWME/
ENPOOUMENOU	E)MPOOUME/NOU
KRATTIN	KRA/SSIN
ENKEKRAMMENA	E)GKEKRAMME/NA
MELANPARWIA	MELAMPARWI/A
SUNBIBA	SUMBI/BA
KABIDIN	KABI/DION
PENPW	PE/MPW
ENFANIAS	E)MFANI/AS
SFINKTHRION	SFIGKTH/RION
ECENENKEIN	E)CENEGKEI=N
ERRWQE	*(ERSW/QE
EIANPER	EI)A/N
ZMHNH	SMH/NH
PWMARIN	PWMA/RION
MANGANWN	MAGGA/NWN
PARENBOLOU	PAREMBO/LOU
ENMELIA	E)MMELI/A
KORDIKIN	KORDI/KION
ZMURNHS	SMU/RNHS
ENGUOI	E)/GGUOI
ENFANIAN	E)MFANI/AN
ENGUWMEN	E)GGUW=MEN
ANENENKEIN	A)NENEGKEI=N
MENFEWN	*MEMFE/WN
SUNXWRHQHSESAI	SUGXWRHQH/SESAI
SUNPARONTES	SUMPARO/NTES
ANENENKATWN	A)NENEGKA/TWN
GONGULIDHS	GOGGULI/DHS
SUNSUNTACEIN	SUSSUNTA/CEIN
SUNKATELUOSAN	SUGKATELU/OSAN
SITOMETRIN	SITOME/TRION
SUNKATARASSWN	SUGKATARA/SSWN
EISENENKEI	EI)SENEGKEI=
ENLO	E)LLO/
UPOTUNXANWN	U(POTUGXA/NWN
SURINGES	SU/RIGGES
PORFURIN	PORFU/RION
FAKEIARIN	*FAKEI+A/RION
PARENPOLH	PAREMPOLH/
PRAITWRIN	PRAITW/RION
PEDALIN	PEDA/LION
ANBLEPEI	A)MBLE/PEI
SUNKROTHSE	SUGKRO/THSE
EXARIN	E)XA/RION
KANGELOU	KAGGE/LOU
KIQWNIN	KIQW/NION
ENGRAFWS	E)GGRA/FWS
ENGEGRAMMENON	E)GGEGRAMME/NON
ENXRHZONTES	E)GXRH/ZONTES
ENXRHZONTA	E)GXRH/ZONTA
AMPER	A)/M
ENGEGUHMAI	E)GGEGU/HMAI
SUNGRAFHS	SUGGRAFH=S
SUNRIGGAS	SU/RRIGGAS
MENFEIS	ME/MFEIS
EPISEIZMOIS	E)PISEISMOI=S
ENXEONTES	E)GXE/ONTES
ENBHNAI	E)MBH=NAI
QINGANEIN	QIGGA/NEIN
GONGULH	GOGGU/LH
ENGIZONTOS	E)GGI/ZONTOS
SUNPEFWNHMENHS	SUMPEFWNHME/NHS
ANKWNOS	A)GKW=NOS
ENGUOMEQA	E)GGUO/MEQA
LOIPADARIN	LOIPADA/RION
ENGUHTHN	E)GGUHTH/N
ENKLISON	E)/GKLISON
SUNPLHRWSEI	SUMPLHRW/SEI
ATARIN	A)TA/RION
DIONKION	DIO/GKION
ENKLISQHNAI	E)GKLISQH=NAI
SUNPAQIN	SUMPA/QION
HPATIN	H(PA/TION
APOLINPANOMENON	A)POLIMPANO/MENON
ANGRAFON	A)GGRA/FON
SUNFWNIAN	SUMFWNI/AN
SUNPRATTONTI	SUMPRA/SSONTI
SUNKUROUNTWN	SUGKUROU/NTWN
OCURUNXITWN	*)OCURUGXITW=N
SUNKAMNONTAS	SUGKA/MNONTAS
ONKON	O)/GKON
APHNGEILA	A)PH/GGEILA
ANANKASETW	A)NAGKASE/TW
ARRON	A)/RSON
ENENKAS	E)NE/GKAS
ECONPLARIN	E)COMPLA/RION
PARANGELENTAS	PARAGGELE/NTAS
ANGEIW	A)GGEI/W
MANGANARIW	MAGGANARI/W
PROSENENKEIN	PROSENEGKEI=N
KATHNGUA	KATHGGU/A
LANBANWN	LAMBA/NWN
ESSFRAGIZMENA	E)SSFRAGISME/NA
ENGISTOS	E)/GGISTOS
UPENGUON	U(PE/GGUON
PROSANGELMA	PROSA/GGELMA
SUNGENIAS	SUGGENI/AS
LELONXEN	LE/LOGXEN
ANKWNI	A)GKW=NI
APHNGELH	A)PHGGE/LH
SXIDARIN	SXIDA/RION
ANPASAS	A)MPA/SAS
PROSKEFALIN	PROSKEFA/LION
NOMIZMATION	NOMISMA/TION
ENXRHSEWN	E)GXRH/SEWN
CUGGENWN	SUGGENW=N
CUNGENEIAS	CUGGE/NEIAS
PRAKTHRRI	PRAKTH=RSI
ENKINDUNEUEIN	E)GKINDUNEU/EIN
ENGUWMEQA	E)GGUW/MEQA
EPANGELLON	E)PAGGE/LLON
BIOTIN	BIO/TION
APOLLWNARIN	*)APOLLWNA/RION
ANPELONA	A)MPE/LONA
PRINGIPI	PRI/GGIPI
SIMARIN	SIMA/RION
SANGAQA	SA/GGAQA
SANGAQWN	SAGGA/QWN
SUNSKEUAZESQAI	SUSKEUA/ZESQAI
ENGUHN	E)GGU/HN
NUNFEUSEIS	NUMFEU/SEIS
ENENKEIN	E)NEGKEI=N
SIDHRIN	SIDH/RION
ONARIN	O)NA/RION
SUNPEFWNMENAS	SUMPEFWMME/NAS
ENPOIHSOMENON	E)MPOIHSO/MENON
KATENENKWMEN	KATENE/GKWMEN
SUNPARADWSW	SUMPARADW/SW
KATENENKOUMEN	KATENEGKOU=MEN
SUNPAREILHFA	SUMPAREI/LHFA
SUNLAMBANOUSHS	SULLAMBANOU/SHS
SUNBALE	SU/MBALE
ENGRAMENA	E)GGRAME/NA
ANENKLHSIAS	A)NEGKLHSI/AS
APOSUSSTAQENTES	A)POSUSTAQE/NTES
